ID_Caso,DANE,Municipio,Departamento,Anho,Mes,Dia,ID_Persona,Sexo,Ocupacion,Tipo_Victima,Estado,Edad,Latitud,Longitud
364379,05093,BETULIA,ANTIOQUIA,2000,7,1,405813,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,PRIMERA INFANCIA (0-5 AÑOS),6.1152555943,-75.9845158732
364380,20011,AGUACHICA,CESAR,2000,7,1,405814,HOMBRE,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,,8.3103369584,-73.599028585
364381,52258,EL TABLON DE GOMEZ,NARIÑO,2000,7,1,405815,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),1.4270540308,-77.0967308309
364382,44560,MANAURE,LA GUAJIRA,2000,7,1,405816,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),11.7740565859,-72.4396673679
364383,44078,BARRANCAS,LA GUAJIRA,2000,7,1,405817,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,INFANCIA (6-11 AÑOS),10.9586667142,-72.7935756661
364384,44078,BARRANCAS,LA GUAJIRA,2000,7,1,405818,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,INFANCIA (6-11 AÑOS),10.9586667142,-72.7935756661
364385,47288,FUNDACION,MAGDALENA,2000,7,1,405819,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),10.5140924032,-74.1913434578
364386,47980,ZONA BANANERA,MAGDALENA,2000,7,1,405820,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADULTEZ (29-59 AÑOS),10.7630268185,-74.140081844
364387,13212,CORDOBA,BOLIVAR,2000,7,1,405821,HOMBRE,CAMPESINO,CIVIL,MUERTA,JUVENTUD (18-28 AÑOS),9.5869079177,-74.8274626321
364388,47555,PLATO,MAGDALENA,2000,7,3,405822,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),9.7967698684,-74.7846828554
364389,19110,BUENOS AIRES,CAUCA,2000,7,3,405823,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),3.0154268296,-76.6422805942
364390,47692,SAN SEBASTIAN DE BUENAVISTA,MAGDALENA,2000,7,4,405824,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),9.2405052497,-74.3516751417
364391,68081,BARRANCABERMEJA,SANTANDER,2000,7,4,405825,HOMBRE,ECONOMÍA INFORMAL,CIVIL,VIVA,ADULTEZ (29-59 AÑOS),7.064963864,-73.8499569753
364392,54001,CUCUTA,NORTE DE SANTANDER,2000,7,5,405826,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADULTEZ (29-59 AÑOS),7.9053062946,-72.5082561962
364393,47288,FUNDACION,MAGDALENA,2000,7,5,405827,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),10.5140924032,-74.1913434578
364394,86865,VALLE DEL GUAMUEZ,PUTUMAYO,2000,7,7,405828,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),0.4239040926,-76.905968795
364395,19110,BUENOS AIRES,CAUCA,2000,7,7,405829,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),3.0154268296,-76.6422805942
364396,05001,MEDELLIN,ANTIOQUIA,2000,7,7,405830,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),6.246715564,-75.581713332
364397,13688,SANTA ROSA DEL SUR,BOLIVAR,2000,7,8,405831,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),7.9628548306,-74.0528400072
364398,05079,BARBOSA,ANTIOQUIA,2000,7,10,405832,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),6.4392268816,-75.3316442322
364399,20175,CHIMICHAGUA,CESAR,2000,7,10,405833,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),9.2582714404,-73.8133284455
364400,05079,BARBOSA,ANTIOQUIA,2000,7,10,405834,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),6.4392268816,-75.3316442322
364401,47053,ARACATACA,MAGDALENA,2000,7,10,405835,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADULTEZ (29-59 AÑOS),10.589800014,-74.1867628365
364402,47288,FUNDACION,MAGDALENA,2000,7,10,405836,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),10.5140924032,-74.1913434578
364404,05674,SAN VICENTE FERRER,ANTIOQUIA,2000,7,11,405838,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),6.2821558517,-75.3326138129
364406,47980,ZONA BANANERA,MAGDALENA,2000,7,11,405840,MUJER,SIN INFORMACIÓN,CIVIL,VIVA,ADOLESCENCIA (12-17 AÑOS),10.7630268185,-74.140081844
364407,47980,ZONA BANANERA,MAGDALENA,2000,7,12,405841,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),10.7630268185,-74.140081844
